               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.064287,            0.022873,                   0,             0.66416,             0.72826,             0.65395,              0.2234,            0.073022,            0.029284,                   0,           0.0033418,           0.0033418,            0.068942
                 115,            0.068199,             0.02279,                   0,             0.66539,             0.71377,             0.62505,             0.18537,            0.077819,             0.02692,                   0,           0.0033692,           0.0033692,            0.068669
                 116,            0.076662,            0.022214,                   0,             0.65992,              0.6558,             0.60112,             0.17605,            0.073311,            0.025987,                   0,           0.0033966,           0.0033966,            0.068397
                 117,            0.069309,            0.024202,                   0,             0.70967,             0.69928,             0.64053,             0.20927,            0.073195,            0.026982,                   0,           0.0034239,           0.0034239,            0.068124
                 118,            0.064307,             0.02233,                   0,             0.65503,             0.72645,             0.63091,             0.19978,            0.066455,            0.026518,                   0,           0.0034512,           0.0034512,            0.067851
                 119,            0.067443,            0.022856,                   0,             0.64119,             0.72283,             0.60367,              0.1685,            0.069931,            0.025552,                   0,           0.0034784,           0.0034784,            0.067578
                 120,            0.076569,            0.022359,                   0,             0.66094,              0.6533,             0.61207,              0.2136,            0.066759,            0.025721,                   0,           0.0035056,           0.0035056,            0.067306
                 121,            0.073404,            0.023431,                   0,             0.63597,             0.53623,              0.5176,             0.17761,            0.071916,            0.030889,                   0,           0.0035328,           0.0035328,            0.067033
                 122,            0.075404,            0.024042,                   0,             0.57687,              0.5977,             0.48015,             0.11292,            0.074672,             0.03659,                   0,           0.0035598,           0.0035598,             0.06676
                 123,            0.078552,            0.022947,                   0,             0.68649,             0.71196,             0.63272,             0.20413,            0.066358,            0.025758,                   0,           0.0035869,           0.0035869,            0.066487
                 124,            0.078183,            0.025456,                   0,             0.15071,             0.10094,            0.042174,            0.011587,            0.091544,            0.036613,                   0,           0.0036139,           0.0036139,            0.066214
                 125,             0.07469,            0.025805,                   0,             0.22443,              0.2029,             0.10515,            0.029615,            0.087109,            0.044561,                   0,           0.0036409,           0.0036409,            0.065941
                 126,            0.053584,            0.024126,                   0,             0.38355,             0.36413,             0.27921,            0.067788,            0.081018,            0.033491,                   0,           0.0036678,           0.0036678,            0.065668
                 127,            0.068897,            0.024088,                   0,             0.53056,             0.56522,             0.49824,             0.12887,            0.072038,            0.029324,                   0,           0.0036946,           0.0036946,            0.065395
                 128,            0.072145,            0.023636,                   0,              0.5856,             0.60928,             0.53276,             0.14717,            0.069327,            0.030684,                   0,           0.0037214,           0.0037214,            0.065121
                 129,            0.063837,            0.024191,                   0,             0.63829,             0.69384,             0.59215,             0.16672,             0.07294,            0.031273,                   0,           0.0037482,           0.0037482,            0.064848
                 130,            0.066608,            0.022163,                   0,             0.59952,             0.65901,             0.56164,             0.16247,            0.072457,            0.032091,                   0,           0.0037749,           0.0037749,            0.064575
                 131,            0.075214,            0.021595,                   0,             0.58427,              0.6136,             0.48302,              0.1354,            0.074048,            0.032964,                   0,           0.0038016,           0.0038016,            0.064302
                 132,            0.077972,             0.02264,                   0,             0.58557,             0.71739,             0.53214,             0.16014,            0.067258,             0.03663,                   0,           0.0038282,           0.0038282,            0.064028
                 133,            0.069093,            0.021089,                   0,             0.37848,              0.4837,             0.24369,            0.057205,            0.078504,            0.037973,                   0,           0.0038548,           0.0038548,            0.063755
                 134,            0.066905,             0.02237,                   0,             0.43888,             0.52711,             0.34408,            0.072558,            0.079668,            0.029019,                   0,           0.0038813,           0.0038813,            0.063481
                 135,            0.072217,            0.021199,                   0,             0.57146,             0.60326,               0.491,             0.12135,            0.067369,            0.030547,                   0,           0.0039077,           0.0039077,            0.063208
                 136,             0.06487,            0.022936,                   0,             0.51103,             0.54348,             0.39416,            0.092559,             0.07194,            0.026623,                   0,           0.0039341,           0.0039341,            0.062934
                 137,             0.05632,            0.020523,                   0,             0.73575,             0.76812,             0.70837,              0.2385,            0.076688,             0.02425,                   0,           0.0039605,           0.0039605,            0.062661
                 138,             0.06494,             0.02313,                   0,             0.69843,              0.7192,             0.65115,             0.16861,            0.070132,            0.026087,                   0,           0.0039868,           0.0039868,            0.062387
                 139,            0.069523,            0.022731,                   0,              0.7107,             0.78329,              0.7109,             0.22085,            0.069865,            0.026368,                   0,           0.0040131,           0.0040131,            0.062113
                 140,            0.069371,            0.022803,                   0,              0.6923,             0.75906,             0.67322,             0.21209,            0.068021,            0.026311,                   0,           0.0040393,           0.0040393,            0.061839
                 141,            0.050278,            0.021399,                   0,             0.68676,             0.61594,             0.56232,             0.13226,            0.074772,            0.024556,                   0,           0.0040654,           0.0040654,            0.061565
                 142,             0.06669,            0.021403,                   0,              0.7324,             0.77355,             0.71434,             0.25289,            0.065525,            0.025091,                   0,           0.0040915,           0.0040915,            0.061292
                 143,            0.055944,            0.021035,                   0,             0.61521,             0.75362,              0.6541,             0.21202,            0.088065,            0.024589,                   0,           0.0041176,           0.0041176,            0.061018
                 144,            0.082003,            0.022916,                   0,             0.62354,             0.61957,             0.54998,              0.1435,            0.080145,            0.027434,                   0,           0.0041435,           0.0041435,            0.060744
                 145,            0.075111,            0.023517,                   0,             0.69531,             0.66667,             0.66198,             0.21841,            0.069253,            0.028177,                   0,           0.0041695,           0.0041695,            0.060469
                 146,            0.061394,            0.023016,                   0,              0.7461,              0.7027,             0.72023,             0.25321,            0.064934,            0.025356,                   0,           0.0041953,           0.0041953,            0.060195
                 147,             0.07001,            0.022269,                   0,             0.71926,             0.73913,             0.70701,             0.22976,            0.063967,            0.023934,                   0,           0.0042212,           0.0042212,            0.059921
                 148,            0.068118,            0.022173,                   0,             0.55905,             0.64999,             0.48942,             0.12006,            0.075679,            0.024633,                   0,           0.0042469,           0.0042469,            0.059647
                 149,            0.073258,            0.022017,                   0,             0.66584,             0.72195,             0.61505,             0.17548,            0.069518,            0.024136,                   0,           0.0042727,           0.0042727,            0.059373
                 150,            0.074313,            0.021974,                   0,             0.69558,                0.75,             0.64632,              0.1861,            0.066258,            0.024005,                   0,           0.0042983,           0.0042983,            0.059098
                 151,            0.068711,            0.023422,                   0,              0.6013,             0.66666,              0.6294,             0.20951,            0.068728,             0.02689,                   0,           0.0043239,           0.0043239,            0.058824
                 152,            0.070185,            0.022661,                   0,             0.60029,             0.64209,             0.64248,              0.1953,            0.066758,            0.026528,                   0,           0.0043494,           0.0043494,            0.058549
